HITS;MISSES;MEMORY
81;56;10.51
107;70;10.81
102;68;10.71
96;64;10.92
84;56;10.74
90;58;10.71
106;72;11.06
89;61;11.23
122;79;11.38
80;54;11.55
77;54;11.87
87;56;11.76
72;46;11.95
97;66;12.17
81;56;12.26
88;56;12.78
93;64;12.65
86;55;12.93
86;60;12.99
111;89;13.28
101;66;13.19
108;76;13.46
81;54;13.3
74;48;13.2
82;56;13.45
91;60;13.92
84;53;13.87
93;65;14.15
113;74;14.22
72;65;14.35
119;82;14.44
90;60;14.26
84;61;14.63
103;66;14.81
97;70;14.67
99;66;14.76
81;54;14.52
78;55;14.79
107;74;14.91
79;62;14.72
58;44;14.44
85;60;14.99
99;74;14.55
76;47;14.64
91;62;14.7
75;50;14.71
80;56;14.69
108;68;14.64
80;55;14.85
100;84;14.77
104;79;14.87
88;59;14.84
62;49;14.54
75;48;14.47
101;68;14.7
93;66;14.72
88;54;14.78
80;56;14.65
95;64;14.82
72;48;14.43
88;56;14.98
103;70;14.96
97;65;14.88
81;51;14.87
90;62;14.75
100;68;14.92
110;76;15.02
79;50;14.61
76;50;14.45
110;72;14.64
95;66;14.48
75;52;14.47
92;58;14.55
103;68;14.76
77;52;14.69
105;68;14.65
118;83;14.78
72;45;14.32
78;56;14.6
84;54;14.74
62;46;14.28
74;52;14.59
67;44;14.48
75;49;14.77
92;61;14.83
59;40;14.36
96;64;14.87
74;48;13.9
78;52;13.96
97;64;14.32
74;52;13.87
99;67;14.26
91;63;14.02
57;38;13.72
69;45;13.63
82;56;14.02
77;52;14.09
78;51;14.21
57;41;13.92
46;32;13.87
43;28;13.68
23;14;12.9
3;2;12.11
3;2;11.84
6;4;11.77
3;2;11.55
6;4;11.6
3;2;11.29
6;4;11.2
3;2;10.9
6;4;10.89
3;2;10.64
6;4;10.74
3;2;10.37
6;4;10.37
3;2;10.1
3;2;10.0
0;0;9.73
0;0;9.58
0;0;9.36
0;0;9.21
0;0;9.1
0;0;8.94
0;0;8.74
0;0;8.55
0;0;8.34
0;0;8.19
0;0;8.02
0;0;7.8
0;0;7.61
0;0;7.4
0;0;7.3
0;0;7.16
0;0;6.99
0;0;6.85
470;606;8.83
2124;2775;13.8
1237;1891;17.26
1290;1275;19.52
1396;1564;22.0
1266;1296;24.02
1736;2167;27.51
1248;841;28.62
1420;973;30.4
1418;830;32.23
4010;1670;36.32
2916;1202;39.27
2206;890;41.41
2068;626;42.71
1845;512;43.7
1566;458;44.68
1191;280;45.13
1480;408;46.18
1214;211;46.65
1608;389;47.56
4673;733;51.13
3461;743;53.32
2656;570;55.22
2046;331;55.82
1634;274;56.47
1470;166;57.01
1150;93;57.19
1288;119;57.84
1024;67;57.88
1238;129;58.28
4676;442;61.21
3852;565;63.55
2962;333;65.22
2141;166;66.0
1259;72;66.07
1814;141;66.94
1210;65;66.91
1406;82;67.37
1218;52;67.48
1186;56;67.73
1230;74;68.17
1268;62;68.26
1300;69;68.81
1642;84;69.14
1022;26;69.07
926;19;69.11
1136;58;69.38
1402;68;70.22
1180;47;70.15
1010;28;70.16
958;25;70.25
953;20;70.3
1063;30;70.51
1078;41;70.55
1010;30;70.58
996;30;70.63
1048;35;70.84
1006;26;70.96
1328;53;71.61
968;23;71.37
1648;670;71.99
2186;1473;71.76
2209;1689;71.91
1602;1194;71.67
1966;1224;71.66
1304;478;71.13
1195;909;71.02
984;368;69.96
1178;394;69.02
1182;541;68.65
2624;1100;68.03
3122;1579;68.07
2178;1186;68.07
1874;948;68.1
1992;799;68.4
1236;400;68.23
1447;427;68.28
1381;304;68.31
1052;233;67.78
1256;164;67.85
3364;792;68.18
3020;1100;68.47
2445;874;68.34
2223;787;68.77
1676;366;69.1
1488;244;68.78
1106;117;68.8
1662;265;69.23
1000;129;68.87
1610;203;69.71
3030;515;69.99
3412;890;70.03
2704;577;70.18
2440;471;70.26
2034;293;70.6
1166;93;70.23
1188;89;70.2
1446;111;71.03
1096;70;70.8
1460;131;70.69
1402;135;70.94
1268;82;70.81
1172;74;70.76
1458;98;71.08
1212;71;71.17
1428;109;71.4
1702;158;71.54
1122;61;71.59
1314;70;71.76
1337;83;72.18
1295;84;72.36
1244;68;72.41
1622;128;73.07
1428;92;73.18
1204;66;73.17
1134;69;73.18
1376;82;73.48
1218;59;73.43
1356;82;73.85
1218;55;73.55
1193;483;74.02
1277;779;74.06
1136;699;74.08
1370;432;73.61
1387;658;73.65
1007;281;73.16
1078;744;73.16
954;389;72.41
874;233;71.56
1226;309;71.2
2294;913;71.24
1674;1207;69.07
1284;536;66.71
1266;562;65.26
1364;873;63.33
1192;409;59.97
1338;553;59.55
1090;363;58.84
1122;454;59.26
